method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.6571859579999,0.9146922458656128,0.9161793372319688,133,,1,10,0.5,0.0001,133,28.55639097744361,36,30091,226.24812030075188
grid,1,0.6507749160082312,0.9146922458656128,0.9161793372319688,133,,1,10,0.5,1e-05,133,28.586466165413533,36,30139,226.60902255639095
grid,1,0.6549787080002716,0.9146922458656128,0.9161793372319688,133,,1,10,0.5,0.0,133,28.616541353383457,36,31439,236.38345864661653
grid,1,0.0975995000044349,0.9145647810976698,0.9161793372319688,50,,1,5,sqrt,0.0001,50,24.14,32,20340,406.8
grid,1,0.0943970840016845,0.9145647810976698,0.9161793372319688,50,,1,5,sqrt,1e-05,50,24.18,32,20370,407.4
grid,1,0.107029999999213,0.9145647810976698,0.9161793372319688,50,,1,5,sqrt,0.0,50,24.18,32,21172,423.44
grid,1,0.2719594590016641,0.9141972118423604,0.9142300194931774,50,20.0,1,7,0.5,0.0001,50,19.96,20,10698,213.96
grid,1,0.2704688750091009,0.9141972118423604,0.9142300194931774,50,20.0,1,7,0.5,1e-05,50,19.96,20,10702,214.04
grid,1,0.2824875840015011,0.9141972118423604,0.9142300194931774,50,20.0,1,7,0.5,0.0,50,19.96,20,11252,225.04
grid,1,0.2284744580101687,0.9135252590533294,0.9142300194931774,133,12.0,1,2,sqrt,0.0001,133,12.0,12,43389,326.23308270676694
grid,1,0.2030813750025117,0.9135252590533294,0.9142300194931774,133,12.0,1,2,sqrt,1e-05,133,12.0,12,43429,326.5338345864662
grid,1,0.207068125004298,0.9135252590533294,0.9142300194931774,133,12.0,1,2,sqrt,0.0,133,12.0,12,45813,344.45864661654133
grid,1,0.0842597500013653,0.9134634422247352,0.9142300194931774,50,20.0,1,7,log2,0.0001,50,19.76,20,19640,392.8
grid,1,0.0929957079933956,0.9134634422247352,0.9142300194931774,50,20.0,1,7,log2,1e-05,50,19.76,20,19790,395.8
grid,1,0.0805921669962117,0.9134634422247352,0.9142300194931774,50,20.0,1,7,log2,0.0,50,19.76,20,20442,408.84
grid,1,0.3502760420087725,0.9134504567988064,0.9142300194931774,217,16.0,1,2,sqrt,0.001,217,15.990783410138247,16,58263,268.4930875576037
grid,1,0.2168794999888632,0.9133560673878194,0.9142300194931774,133,16.0,1,2,sqrt,0.001,133,15.984962406015038,16,36075,271.2406015037594
grid,1,0.0828559159999713,0.9133086686378328,0.9142300194931774,50,,1,7,log2,0.0001,50,22.88,29,20190,403.8
