method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.25953308399766684,0.9178190417696375,0.9181286549707602,50,20.0,1,5,0.5,1e-05,50,20.0,20,11822,236.44
grid,1,0.26128841600439046,0.9178190417696375,0.9181286549707602,50,20.0,1,5,0.5,0.0,50,20.0,20,12428,248.56
grid,1,0.2743077499908395,0.9176605633027619,0.9181286549707602,50,,1,7,0.5,0.0001,50,30.06,36,12480,249.6
grid,1,0.27125449999584816,0.9176605633027619,0.9181286549707602,50,,1,7,0.5,1e-05,50,30.08,36,12484,249.68
grid,1,0.28987054199387785,0.9176605633027619,0.9181286549707602,50,,1,7,0.5,0.0,50,30.14,36,13074,261.48
grid,1,0.22099491600238252,0.9167654786639411,0.9181286549707602,133,20.0,1,5,sqrt,0.0001,133,19.909774436090224,20,52567,395.2406015037594
grid,1,0.2185989999998128,0.9167654786639411,0.9181286549707602,133,20.0,1,5,sqrt,1e-05,133,19.917293233082706,20,52645,395.82706766917295
grid,1,0.22586600000795443,0.9167654786639411,0.9181286549707602,133,20.0,1,5,sqrt,0.0,133,19.917293233082706,20,54771,411.812030075188
grid,1,0.6708113749918994,0.9155212922430214,0.9161793372319688,133,20.0,1,2,0.5,1e-05,133,20.0,20,38535,289.7368421052632
grid,1,0.6487423750077141,0.9155212922430214,0.9161793372319688,133,20.0,1,2,0.5,0.0001,133,20.0,20,38535,289.7368421052632
grid,1,0.6465557500050636,0.9155212922430214,0.9161793372319688,133,20.0,1,2,0.5,0.0,133,20.0,20,41147,309.37593984962405
grid,1,0.08165541700145695,0.9153475987754001,0.9161793372319688,50,,1,7,log2,1e-05,50,22.9,29,20328,406.56
grid,1,0.08282774999679532,0.9153475987754001,0.9161793372319688,50,,1,7,log2,0.0,50,23.0,29,21018,420.36
grid,1,0.21575054198910948,0.9152824962302424,0.9161793372319688,133,,1,2,sqrt,0.001,133,21.827067669172934,32,40913,307.61654135338347
grid,1,0.34311758300464135,0.9152243266108446,0.9161793372319688,217,16.0,1,5,sqrt,0.0001,217,16.0,16,76105,350.7142857142857
grid,1,0.3702731659868732,0.9152243266108446,0.9161793372319688,217,16.0,1,5,sqrt,1e-05,217,16.0,16,76257,351.4147465437788
grid,1,0.340168458991684,0.9152243266108446,0.9161793372319688,217,16.0,1,5,sqrt,0.0,217,16.0,16,79335,365.5990783410138
grid,1,0.29856945799838286,0.9149508856663886,0.9161793372319688,50,,1,5,0.5,0.0001,50,29.62,39,13826,276.52
grid,1,0.2629119159973925,0.9149508856663886,0.9161793372319688,50,,1,5,0.5,1e-05,50,29.64,39,13830,276.6
grid,1,0.27516204200219363,0.9149508856663886,0.9161793372319688,50,,1,5,0.5,0.0,50,29.68,39,14500,290.0
grid,1,0.650278041997808,0.9149263875312698,0.9161793372319688,133,,1,7,0.5,0.0001,133,29.30827067669173,39,33077,248.69924812030075
grid,1,0.6668515829951502,0.9149263875312698,0.9161793372319688,133,,1,7,0.5,1e-05,133,29.31578947368421,39,33101,248.8796992481203
grid,1,0.65561400000297,0.9149263875312698,0.9161793372319688,133,,1,7,0.5,0.0,133,29.360902255639097,39,34649,260.5187969924812
grid,1,0.34049750000122003,0.9148933433078166,0.9161793372319688,217,12.0,1,2,sqrt,0.0001,217,12.0,12,69975,322.46543778801845
grid,1,0.3382267089909874,0.9148933433078166,0.9161793372319688,217,12.0,1,2,sqrt,1e-05,217,12.0,12,70045,322.78801843317973
grid,1,0.3234670840029139,0.9148933433078166,0.9161793372319688,217,12.0,1,2,sqrt,0.0,217,12.0,12,73923,340.6589861751152
grid,1,0.09624583400727715,0.9147654990427353,0.9161793372319688,50,20.0,1,5,sqrt,0.0001,50,19.84,20,19382,387.64
grid,1,0.09367354199639522,0.9147654990427353,0.9161793372319688,50,20.0,1,5,sqrt,1e-05,50,19.86,20,19406,388.12
grid,1,0.09406799999123905,0.9147654990427353,0.9161793372319688,50,20.0,1,5,sqrt,0.0,50,19.86,20,20184,403.68
grid,1,0.6571859579999,0.9146922458656127,0.9161793372319688,133,,1,10,0.5,0.0001,133,28.55639097744361,36,30091,226.24812030075188
grid,1,0.6507749160082312,0.9146922458656127,0.9161793372319688,133,,1,10,0.5,1e-05,133,28.586466165413533,36,30139,226.60902255639098
grid,1,0.6549787080002716,0.9146922458656127,0.9161793372319688,133,,1,10,0.5,0.0,133,28.616541353383457,36,31439,236.38345864661653
grid,1,0.09759950000443496,0.9145647810976698,0.9161793372319688,50,,1,5,sqrt,0.0001,50,24.14,32,20340,406.8
grid,1,0.09439708400168456,0.9145647810976698,0.9161793372319688,50,,1,5,sqrt,1e-05,50,24.18,32,20370,407.4
grid,1,0.10702999999921303,0.9145647810976698,0.9161793372319688,50,,1,5,sqrt,0.0,50,24.18,32,21172,423.44
grid,1,0.2719594590016641,0.9141972118423604,0.9142300194931774,50,20.0,1,7,0.5,0.0001,50,19.96,20,10698,213.96
grid,1,0.2704688750091009,0.9141972118423604,0.9142300194931774,50,20.0,1,7,0.5,1e-05,50,19.96,20,10702,214.04
grid,1,0.2824875840015011,0.9141972118423604,0.9142300194931774,50,20.0,1,7,0.5,0.0,50,19.96,20,11252,225.04
grid,1,0.22847445801016875,0.9135252590533294,0.9142300194931774,133,12.0,1,2,sqrt,0.0001,133,12.0,12,43389,326.23308270676694
grid,1,0.20308137500251178,0.9135252590533294,0.9142300194931774,133,12.0,1,2,sqrt,1e-05,133,12.0,12,43429,326.5338345864662
grid,1,0.20706812500429805,0.9135252590533294,0.9142300194931774,133,12.0,1,2,sqrt,0.0,133,12.0,12,45813,344.45864661654133
grid,1,0.08425975000136532,0.9134634422247352,0.9142300194931774,50,20.0,1,7,log2,0.0001,50,19.76,20,19640,392.8
grid,1,0.09299570799339563,0.9134634422247352,0.9142300194931774,50,20.0,1,7,log2,1e-05,50,19.76,20,19790,395.8
grid,1,0.08059216699621174,0.9134634422247352,0.9142300194931774,50,20.0,1,7,log2,0.0,50,19.76,20,20442,408.84
grid,1,0.3502760420087725,0.9134504567988063,0.9142300194931774,217,16.0,1,2,sqrt,0.001,217,15.990783410138249,16,58263,268.4930875576037
